time,req_id,current_decode_position,memory_freed,running_count_same_position,total_running_count
6999.9506,35765,0,20,18,337
6999.9506,35766,0,20,17,336
6999.9506,35767,0,20,16,335
7003.1446,35784,0,20,17,323
7003.1446,35769,0,20,27,333
7003.1446,35770,0,20,26,332
7003.1446,35776,0,20,25,331
7003.1446,35777,0,20,24,330
7003.1446,35778,0,20,23,329
7003.1446,35779,0,20,22,328
7003.1446,35780,0,20,21,327
7003.1446,35781,0,20,20,326
7003.1446,35782,0,20,19,325
7003.1446,35783,0,20,18,324
7003.1446,35768,0,20,28,334
7003.1446,35763,0,20,33,339
7003.1446,35764,0,20,32,338
7003.1446,35765,0,20,31,337
7003.1446,35766,0,20,30,336
7003.1446,35767,0,20,29,335
7006.3393,35784,0,20,25,327
7006.3393,35769,0,20,35,337
7006.3393,35770,0,20,34,336
7006.3393,35776,0,20,33,335
7006.3393,35777,0,20,32,334
7006.3393,35778,0,20,31,333
7006.3393,35779,0,20,30,332
7006.3393,35780,0,20,29,331
7006.3393,35781,0,20,28,330
7006.3393,35782,0,20,27,329
7006.3393,35783,0,20,26,328
7006.3393,35768,0,20,36,338
7006.3393,35763,0,20,41,343
7006.3393,35764,0,20,40,342
7006.3393,35765,0,20,39,341
7006.3393,35766,0,20,38,340
7006.3393,35767,0,20,37,339
7009.5359,35769,0,20,22,334
7009.5359,35770,0,20,21,333
7009.5359,35776,0,20,20,332
7009.5359,35777,0,20,19,331
7009.5359,35778,0,20,18,330
7009.5359,35779,0,20,17,329
7009.5359,35780,0,20,16,328
7009.5359,35781,0,20,15,327
7009.5359,35782,0,20,14,326
7009.5359,35783,0,20,13,325
7009.5359,35768,0,20,23,335
7009.5359,35763,0,20,28,340
7009.5359,35764,0,20,27,339
7009.5359,35765,0,20,26,338
7009.5359,35766,0,20,25,337
7009.5359,35767,0,20,24,336
7012.7338,35769,0,20,26,334
7012.7338,35770,0,20,25,333
7012.7338,35776,0,20,24,332
7012.7338,35777,0,20,23,331
7012.7338,35778,0,20,22,330
7012.7338,35779,0,20,21,329
7012.7338,35780,0,20,20,328
7012.7338,35781,0,20,19,327
7012.7338,35782,0,20,18,326
7012.7338,35783,0,20,17,325
7012.7338,35839,0,20,16,324
7012.7338,35768,0,20,27,335
7012.7338,35763,0,20,32,340
7012.7338,35764,0,20,31,339
7012.7338,35765,0,20,30,338
7012.7338,35766,0,20,29,337
7012.7338,35767,0,20,28,336
7015.9262,35769,0,20,25,333
7015.9262,35770,0,20,24,332
7015.9262,35776,0,20,23,331
7015.9262,35777,0,20,22,330
7015.9262,35778,0,20,21,329
7015.9262,35779,0,20,20,328
7015.9262,35780,0,20,19,327
7015.9262,35781,0,20,18,326
7015.9262,35782,0,20,17,325
7015.9262,35783,0,20,16,324
7015.9262,35839,0,20,15,323
7015.9262,35768,0,20,26,334
7015.9262,35763,0,20,31,339
7015.9262,35764,0,20,30,338
7015.9262,35765,0,20,29,337
7015.9262,35766,0,20,28,336
7015.9262,35767,0,20,27,335
7019.1193,35768,0,20,22,326
7019.1193,35763,0,20,27,331
7019.1193,35764,0,20,26,330
7019.1193,35765,0,20,25,329
7019.1193,35766,0,20,24,328
7019.1193,35767,0,20,23,327
7022.3204,35763,0,20,22,330
7022.3204,35764,0,20,21,329
7022.3204,35765,0,20,20,328
7022.3204,35766,0,20,19,327
7022.3204,35767,0,20,18,326
7025.5167,35895,0,20,19,331
7025.5167,35896,0,20,18,330
7025.5167,35897,0,20,17,329
7025.5167,35898,0,20,16,328
7025.5167,35899,0,20,15,327
7025.5167,35900,0,20,14,326
7025.5167,35901,0,20,13,325
7025.5167,35902,0,20,12,324
7025.5167,35903,0,20,11,323
7025.5167,35763,0,20,24,336
7025.5167,35764,0,20,23,335
7025.5167,35765,0,20,22,334
7025.5167,35766,0,20,21,333
7025.5167,35767,0,20,20,332
7028.7136,35916,0,20,22,325
7028.7136,35895,0,20,33,336
7028.7136,35896,0,20,32,335
7028.7136,35897,0,20,31,334
7028.7136,35898,0,20,30,333
7028.7136,35899,0,20,29,332
7028.7136,35900,0,20,28,331
7028.7136,35901,0,20,27,330
7028.7136,35902,0,20,26,329
7028.7136,35903,0,20,25,328
7028.7136,35914,0,20,24,327
7028.7136,35915,0,20,23,326
7028.7136,35763,0,20,38,341
7028.7136,35764,0,20,37,340
7028.7136,35765,0,20,36,339
7028.7136,35766,0,20,35,338
7028.7136,35767,0,20,34,337
7031.9054,35916,0,20,19,326
7031.9054,35895,0,20,30,337
7031.9054,35896,0,20,29,336
7031.9054,35897,0,20,28,335
7031.9054,35898,0,20,27,334
7031.9054,35899,0,20,26,333
7031.9054,35900,0,20,25,332
7031.9054,35901,0,20,24,331
7031.9054,35902,0,20,23,330
7031.9054,35903,0,20,22,329
7031.9054,35914,0,20,21,328
7031.9054,35915,0,20,20,327
7031.9054,35763,0,20,35,342
7031.9054,35764,0,20,34,341
7031.9054,35765,0,20,33,340
7031.9054,35766,0,20,32,339
7031.9054,35767,0,20,31,338
7035.0988,35895,0,20,25,335
7035.0988,35896,0,20,24,334
7035.0988,35897,0,20,23,333
7035.0988,35898,0,20,22,332
7035.0988,35899,0,20,21,331
7035.0988,35900,0,20,20,330
7035.0988,35901,0,20,19,329
7035.0988,35902,0,20,18,328
7035.0988,35903,0,20,17,327
7035.0988,35914,0,20,16,326
7035.0988,35915,0,20,15,325
7035.0988,35763,0,20,30,340
7035.0988,35764,0,20,29,339
7035.0988,35765,0,20,28,338
7035.0988,35766,0,20,27,337
7035.0988,35767,0,20,26,336
7038.2935,35763,0,20,31,334
7038.2935,35764,0,20,30,333
7038.2935,35765,0,20,29,332
7038.2935,35766,0,20,28,331
7038.2935,35767,0,20,27,330
7062.7335,36095,0,20,7,325
7062.7335,36089,0,20,13,331
7062.7335,36090,0,20,12,330
7062.7335,36091,0,20,11,329
7062.7335,36092,0,20,10,328
7062.7335,36093,0,20,9,327
7062.7335,36094,0,20,8,326
7065.9320,36089,0,20,22,330
7065.9320,36090,0,20,21,329
7065.9320,36091,0,20,20,328
7065.9320,36092,0,20,19,327
7065.9320,36093,0,20,18,326
7065.9320,36094,0,20,17,325
7078.6064,36161,0,20,17,326
7078.6064,36162,0,20,16,325
7152.1402,36551,0,20,17,336
7152.1402,36552,0,20,16,335
7152.1402,36553,0,20,15,334
7152.1402,36554,0,20,14,333
7152.1402,36555,0,20,13,332
7152.1402,36556,0,20,12,331
7152.1402,36557,0,20,11,330
7152.1402,36558,0,20,10,329
7152.1402,36559,0,20,9,328
7152.1402,36560,0,20,8,327
7152.1402,36550,0,20,18,337
7155.3377,36550,0,20,25,331
7158.5385,36586,0,20,8,326
7158.5385,36550,0,20,13,331
7158.5385,36582,0,20,12,330
7158.5385,36583,0,20,11,329
7158.5385,36584,0,20,10,328
7158.5385,36585,0,20,9,327
7161.7344,36550,0,20,21,330
7161.7344,36582,0,20,20,329
7161.7344,36583,0,20,19,328
7161.7344,36584,0,20,18,327
7161.7344,36585,0,20,17,326
7171.3201,36639,0,20,14,326
7171.3201,36640,0,20,13,325
7174.5164,36661,0,20,12,325
7174.5164,36662,0,20,11,324
7174.5164,36663,0,20,10,323
7174.5164,36664,0,20,9,322
7174.5164,36665,0,20,8,321
7174.5164,36666,0,20,7,320
7174.5164,36639,0,20,22,335
7174.5164,36640,0,20,21,334
7174.5164,36653,0,20,20,333
7174.5164,36654,0,20,19,332
7174.5164,36655,0,20,18,331
7174.5164,36656,0,20,17,330
7174.5164,36657,0,20,16,329
7174.5164,36658,0,20,15,328
7174.5164,36659,0,20,14,327
7174.5164,36660,0,20,13,326
7177.7123,36639,0,20,40,336
7177.7123,36640,0,20,39,335
7177.7123,36653,0,20,38,334
7177.7123,36654,0,20,37,333
7177.7123,36655,0,20,36,332
7177.7123,36656,0,20,35,331
7177.7123,36657,0,20,34,330
7177.7123,36658,0,20,33,329
7177.7123,36659,0,20,32,328
7177.7123,36660,0,20,31,327
7180.9102,36701,0,20,14,326
7180.9102,36702,0,20,13,325
7180.9102,36703,0,20,12,324
7180.9102,36639,0,20,28,340
7180.9102,36640,0,20,27,339
7180.9102,36653,0,20,26,338
7180.9102,36654,0,20,25,337
7180.9102,36655,0,20,24,336
7180.9102,36656,0,20,23,335
7180.9102,36657,0,20,22,334
7180.9102,36658,0,20,21,333
7180.9102,36659,0,20,20,332
7180.9102,36660,0,20,19,331
7180.9102,36697,0,20,18,330
7180.9102,36698,0,20,17,329
7180.9102,36699,0,20,16,328
7180.9102,36700,0,20,15,327
7184.1026,36639,0,20,36,340
7184.1026,36640,0,20,35,339
7184.1026,36653,0,20,34,338
7184.1026,36654,0,20,33,337
7184.1026,36655,0,20,32,336
7184.1026,36656,0,20,31,335
7184.1026,36657,0,20,30,334
7184.1026,36658,0,20,29,333
7184.1026,36659,0,20,28,332
7184.1026,36660,0,20,27,331
7184.1026,36697,0,20,26,330
7184.1026,36698,0,20,25,329
7184.1026,36699,0,20,24,328
7184.1026,36700,0,20,23,327
7190.4821,36756,0,20,12,331
7190.4821,36757,0,20,11,330
7190.4821,36758,0,20,10,329
7190.4821,36754,0,20,14,333
7190.4821,36755,0,20,13,332
7190.4821,36752,0,20,16,335
7190.4821,36753,0,20,15,334
7190.4821,36748,0,20,20,339
7190.4821,36749,0,20,19,338
7190.4821,36750,0,20,18,337
7190.4821,36751,0,20,17,336
7193.6761,36756,0,20,22,335
7193.6761,36757,0,20,21,334
7193.6761,36758,0,20,20,333
7193.6761,36768,0,20,19,332
7193.6761,36769,0,20,18,331
7193.6761,36770,0,20,17,330
7193.6761,36771,0,20,16,329
7193.6761,36772,0,20,15,328
7193.6761,36754,0,20,24,337
7193.6761,36755,0,20,23,336
7193.6761,36752,0,20,26,339
7193.6761,36753,0,20,25,338
7193.6761,36748,0,20,30,343
7193.6761,36749,0,20,29,342
7193.6761,36750,0,20,28,341
7193.6761,36751,0,20,27,340
7196.8724,36754,0,20,33,336
7196.8724,36755,0,20,32,335
